customer,recency,T,monetary_value,frequency,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud,expected_monetary_value,pred_nb_purchases,pred_revenue
'C691839786',133,179,80.19835937499997,63,63,63,63,63,63,63,63,63,53.97493227647068,0.002901238057234921,0.15659412765717423
'C1505370540',154,179,33.36780303030304,131,131,131,131,131,131,131,131,131,34.606325075540845,0.005025898135391227,0.1739278646699034
'C1949440316',155,179,31.42471014492754,137,137,137,137,137,137,137,137,137,33.420081154545095,0.005428478332815466,0.18142018642838253
'C1152835627',156,179,32.98468965517241,144,144,144,144,144,144,144,144,144,34.30646346710765,0.005546993050480687,0.1902977144386157
'C1112424232',155,178,40.39303448275862,144,144,144,144,144,144,144,144,144,38.794983788156564,0.004953206773231423,0.19215957646690035
'C369566106',142,178,49.705376984126985,83,83,83,83,83,83,83,83,83,42.618103349860206,0.00504167984752171,0.2148668327985877
'C1610565169',157,179,32.00086092715232,150,150,150,150,150,150,150,150,150,33.668293749581025,0.006895535440340218,0.232160912766021
'C1960578141',153,179,34.62189516129031,123,123,123,123,123,123,123,123,123,35.363970210480915,0.0065910403029182454,0.23308535292847993
'C1045850211',147,179,46.6998969072165,96,96,96,96,96,96,96,96,96,41.58268360565691,0.005841859261486822,0.24292018533918308
'C1068772542',157,179,30.44280000000002,149,149,149,149,149,149,149,149,149,32.718524660356366,0.007753034331573015,0.25366784497016126
'C1775239769',110,179,128.89305555555555,35,35,35,35,35,35,35,35,35,61.51385480987112,0.004290725820686975,0.2639390851627037
'C1617547021',145,179,38.96505617977528,88,88,88,88,88,88,88,88,88,37.61069929534046,0.007046513524194973,0.2650243012390469
'C1351458855',157,179,30.616140939597297,148,148,148,148,148,148,148,148,148,32.834094638912774,0.008716374212186828,0.28619425579112107
'C1575367607',156,179,31.317836879432633,140,140,140,140,140,140,140,140,140,33.33043306108702,0.009067592824545681,0.3022267956637128
'C1878030169',157,179,28.020945945945943,147,147,147,147,147,147,147,147,147,31.25820053804907,0.009798506783872575,0.3062836900237232
'C751491447',142,179,37.84803797468354,78,78,78,78,78,78,78,78,78,37.02428917615133,0.008795667294416045,0.3256533294056762
'C1700550154',151,179,57.38119469026549,112,112,112,112,112,112,112,112,112,47.79729902830033,0.0069816057655764435,0.3337018984749629
'C762614808',157,179,49.50853333333334,149,149,149,149,149,149,149,149,149,44.424772101654895,0.007753034331573015,0.3444267832764375
'C1975322645',152,179,37.96146551724138,115,115,115,115,115,115,115,115,115,37.23285856568813,0.009461077326474599,0.35226295397566754
'C2032185280',155,179,30.996590909090912,131,131,131,131,131,131,131,131,131,33.22374547831738,0.011730300821992227,0.3897245288939669
'C1790426542',158,179,30.456535947712403,152,152,152,152,152,152,152,152,152,32.69923355712969,0.014302478412111925,0.4676800820434532
'C877773949',146,179,29.83113636363635,87,87,87,87,87,87,87,87,87,33.20492840079019,0.015457780703729784,0.5132745015024637
'C1945950459',116,140,33.14045918367347,97,97,97,97,97,97,97,97,97,34.71151752407849,0.015164151314909632,0.5263707041052635
'C221508235',126,148,31.808362068965508,115,115,115,115,115,115,115,115,115,33.84187978885454,0.015612620576894562,0.5283604287522626
'C648467088',157,179,32.75201388888891,143,143,143,143,143,143,143,143,143,34.17146364161271,0.015633008498838415,0.5342027815270795
'C1808415473',147,179,41.1795108695652,91,91,91,91,91,91,91,91,91,38.723899705311325,0.013991282663314756,0.5417970266028618
'C1711371239',153,179,44.743644067796616,117,117,117,117,117,117,117,117,117,41.00634063840763,0.015230514023732118,0.6245476461552036
'C1267410030',145,179,28.98096385542169,82,82,82,82,82,82,82,82,82,32.90411336029071,0.021529563842374852,0.7084112092671181
'C1890779401',146,179,32.04085271317829,85,85,85,85,85,85,85,85,85,34.29391831036044,0.022137519181650536,0.7591822744095608
'C995235283',144,179,34.30885416666668,79,79,79,79,79,79,79,79,79,35.40984332090125,0.021675411007625715,0.7675229076961649
'C1033416330',154,179,32.84266666666666,119,119,119,119,119,119,119,119,119,34.38237147236042,0.025024337850177537,0.8603960798146532
'C44151986',157,179,34.530297619047595,139,139,139,139,139,139,139,139,139,35.25821998467336,0.024901877507763726,0.877995875200123
'C396866523',154,179,31.431813725490187,118,118,118,118,118,118,118,118,118,33.60314752514334,0.02858076840134106,0.9604037769722189
'C1538971214',158,179,30.852773972602733,145,145,145,145,145,145,145,145,145,33.00573362213405,0.031060106663810583,1.025161606820803
'C1107580024',137,158,28.979603174603195,125,125,125,125,125,125,125,125,125,32.131886132525,0.03413283829133452,1.0967524733570497
'C1158752013',158,179,26.48578703703703,143,143,143,143,143,143,143,143,143,30.385357411491775,0.03873067645652643,1.1768454469204055
'C576597517',156,179,33.32015503875969,128,128,128,128,128,128,128,128,128,34.59557332393703,0.03919991800955054,1.3561436377917255
'C417650106',151,179,31.921188118811877,100,100,100,100,100,100,100,100,100,34.05763157439938,0.042467993736265336,1.4463592843736255
'C283266984',150,179,40.75819587628865,96,96,96,96,96,96,96,96,96,38.57539078861713,0.040692587690460434,1.5697324723595822
'C587299231',155,179,165.65717948717943,129,129,129,129,129,129,129,129,129,111.25585098763617,0.015151304240505314,1.6856712468499992
'C707769587',151,179,43.77132013201323,100,100,100,100,100,100,100,100,100,40.17624938939829,0.042467993736265336,1.7062047074156008
'C595076943',147,179,28.517678571428572,83,83,83,83,83,83,83,83,83,32.664259254389094,0.055844024568000195,1.8241036962976322
'C644344959',159,179,29.6128187919463,148,148,148,148,148,148,148,148,148,32.21966330552884,0.05665705116185544,1.8254711123191039
'C1180936672',157,179,53.22805147058825,135,135,135,135,135,135,135,135,135,46.30939177349855,0.03959872415169052,1.8337928304713353
'C1170049298',154,179,31.982850877192973,113,113,113,113,113,113,113,113,113,33.95696124916485,0.05541558082314744,1.8817447306115802
'C1372042334',159,179,35.79936241610737,148,148,148,148,148,148,148,148,148,36.00828319888081,0.05665705116185544,2.04012314344957
'C11668910',157,179,32.10261363636364,131,131,131,131,131,131,131,131,131,33.8686327252715,0.0628541999027925,2.1287858117484753
'C15485686',141,179,34.37072139303481,66,66,66,66,66,66,66,66,66,35.52505413160487,0.06264338375954283,2.225409599044656
'C2070292195',160,179,29.06970967741936,154,154,154,154,154,154,154,154,154,31.818813269539426,0.079294841884343,2.5230677671555637
'C1239154010',159,179,31.396027397260298,145,145,145,145,145,145,145,145,145,33.335773599458676,0.07746893556525455,2.582486896994378
'C2087230127',158,179,30.332919708029202,136,136,136,136,136,136,136,136,136,32.78227041476309,0.08357972845256374,2.7399332593244132
'C2094361013',156,179,33.03788617886179,122,122,122,122,122,122,122,122,122,34.471384167675744,0.08096368097549247,2.790930150535341
'C1688560702',156,179,28.8906557377049,121,121,121,121,121,121,121,121,121,32.14048753544079,0.09132255326152165,2.9351513848065642
'C1013199152',157,179,35.31348837209303,128,128,128,128,128,128,128,128,128,35.74657622177898,0.08876911997470442,3.1731921133160146
'C1400128034',149,179,38.24102272727272,87,87,87,87,87,87,87,87,87,37.25455785149095,0.09087594238377272,3.385543052845019
'C1283110336',159,179,41.44389655172413,144,144,144,144,144,144,144,144,144,39.431673340404096,0.08596693301910693,3.3898200208858236
'C1002658784',157,179,33.699453124999984,127,127,127,127,127,127,127,127,127,34.819643314903004,0.0995690191913111,3.4669577334561845
'C1148635270',148,179,34.81059523809523,83,83,83,83,83,83,83,83,83,35.620630927503456,0.09808088894644221,3.4937031462026713
'C1971736578',155,179,35.52839130434783,114,114,114,114,114,114,114,114,114,35.89374081642634,0.10153090440458029,3.6443239675553643
'C589097761',152,179,35.14020202020203,98,98,98,98,98,98,98,98,98,35.72576254568416,0.10927667861348032,3.903992671926241
'C1359092613',157,179,28.063373015873022,125,125,125,125,125,125,125,125,125,31.608142518819626,0.12521896124924498,3.9579387732246873
'C113294083',159,179,28.11595744680852,140,140,140,140,140,140,140,140,140,31.4121008115452,0.13022229823767992,4.0905559601531065
'C1887082660',160,179,30.544966216216213,147,147,147,147,147,147,147,147,147,32.79983770650183,0.15787552261153473,5.1782915194875
'C1236533874',159,179,35.95032142857142,139,139,139,139,139,139,139,139,139,36.1065479546444,0.14442861280370767,5.214818634219839
'C918933783',158,179,49.46533834586465,132,132,132,132,132,132,132,132,132,44.01654631940433,0.12938669902867933,5.6951556309106905
'C1305161735',160,179,52.89214765100669,148,148,148,148,148,148,148,148,148,46.47585121550722,0.143126115019714,6.651908026709801
'C512783217',155,176,36.36892857142858,125,125,125,125,125,125,125,125,125,36.35583788668016,0.21217146935746858,7.7136715441388555
'C1108787528',160,179,31.89663194444443,143,143,143,143,143,143,143,143,143,33.65463477704054,0.23347110648866734,7.857384819867639
'C1977780197',157,179,29.730708333333336,119,119,119,119,119,119,119,119,119,32.64109526627652,0.24817241858020284,8.100619557338655
'C676156739',160,179,30.66527972027971,142,142,142,142,142,142,142,142,142,32.92016898363305,0.2573891667786568,8.473294864909892
'C895105444',128,162,57.73968253968256,62,62,62,62,62,62,62,62,62,44.8618669816016,0.1918627150259917,8.607319600224974
'C529135239',152,179,25.932065217391315,91,91,91,91,91,91,91,91,91,31.21053860304222,0.29386724741502096,9.171755069616271
'C1887326984',159,179,37.42302238805968,133,133,133,133,133,133,133,133,133,36.974786712942944,0.2681330176488566,9.91416113826424
'C34441666',160,179,35.63584507042252,141,141,141,141,141,141,141,141,141,35.91626806215278,0.2837237244996088,10.190297344720335
'C111217068',157,179,35.9271186440678,117,117,117,117,117,117,117,117,117,36.10997628476457,0.31131987819529366,11.24175341860785
'C848738212',160,179,32.45810714285713,139,139,139,139,139,139,139,139,139,34.0202850090271,0.3446235314531614,11.724190760853965
'C964866248',157,179,39.019583333333316,117,117,117,117,117,117,117,117,117,37.82741406684897,0.31131987819529366,11.776425939734358
'C1116417172',159,179,29.868115384615393,129,129,129,129,129,129,129,129,129,32.58999638181999,0.4039286677770479,13.164033821367358
'C1760524265',155,179,39.304285714285705,104,104,104,104,104,104,104,104,104,37.89879873884121,0.35343839973441654,13.39489077811276
'C923543549',160,179,24.49189781021898,136,136,136,136,136,136,136,136,136,29.323536596569,0.4608804245253739,13.514643995212058
'C2014729870',160,179,27.617518248175198,136,136,136,136,136,136,136,136,136,31.174358131008148,0.4608804245253739,14.367651409725077
'C1523732855',137,171,46.6966015625,63,63,63,63,63,63,63,63,63,40.50352338390226,0.35500610041471786,14.37899788957548
'C1113166893',156,179,31.043027522935773,108,108,108,108,108,108,108,108,108,33.5026108304566,0.4301589422217036,14.4114476364946
'C892943299',162,179,28.998205128205143,155,155,155,155,155,155,155,155,155,31.76318885785397,0.490638505152051,15.584243500079753
'C1177926954',155,179,35.7410194174757,102,102,102,102,102,102,102,102,102,36.026984622311524,0.45238021442898385,16.29789502867099
'C428024823',159,179,32.9059375,127,127,127,127,127,127,127,127,127,34.3629661266833,0.49531220253256175,17.020396437759317
'C1440474435',159,179,33.41656249999999,127,127,127,127,127,127,127,127,127,34.656836570929045,0.49531220253256175,17.1659540547579
'C1334227305',161,179,40.44952054794522,145,145,145,145,145,145,145,145,145,38.83599603440091,0.4727859736355344,18.361114197229984
'C1242770016',158,179,32.45626050420167,118,118,118,118,118,118,118,118,118,34.174238409568886,0.5865785068691223,20.045873739674324
'C424790668',160,179,30.28972636815919,133,133,133,133,133,133,133,133,133,32.78934375588176,0.6155509352079437,20.183511213787767
'C359221218',159,179,31.259510582010567,125,125,125,125,125,125,125,125,125,33.43514703601249,0.6069542184757178,20.293603538863675
'C1297329735',153,179,30.386794871794862,90,90,90,90,90,90,90,90,90,33.422095942606674,0.6086950288531287,20.343863654117005
'C827350474',155,179,36.445297029702964,100,100,100,100,100,100,100,100,100,36.393579675934106,0.5783918839441258,21.049751112234173
'C595459074',158,179,43.24220833333335,119,119,119,119,119,119,119,119,119,40.201367910833966,0.5271380412955922,21.19167033792049
'C604267980',161,179,30.291314553990624,141,141,141,141,141,141,141,141,141,32.7050861910003,0.680815580940416,22.266132254832247
